gi_no,categories
281874,마케팅;홍보;해외 마케팅;광고기획
281883,영상제작·편집;마케팅;홍보;해외 마케팅;광고기획
283441,QA·테스터
283776,게임개발(모바일);이펙트·FX
283774,이펙트·FX
283773,사업관리
283745,서버;네트워크;시스템·DB;클라우드
283733,게임개발(모바일);게임기획
283713,게임개발(클라이언트)
283712,이펙트·FX
283702,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
283701,게임개발(클라이언트);게임개발(모바일);게임AI 개발;애니메이션;이펙트·FX
283672,QA·테스터
283680,플랫폼 개발;플랫폼 디자인;플랫폼 기획
283449,사운드 제작
281466,게임개발(클라이언트);엔진
283322,모델링
283153,게임운영
283645,인사
283104,게임개발(클라이언트);게임개발(모바일);게임AI 개발
283643,게임기획
283642,원화;모델링
283626,이펙트·FX
283585,이펙트·FX
283463,게임개발(모바일);게임기획
283580,총무
283596,사업기획(해외);사업관리;마케팅;프로모션;퍼블리싱
283584,인사;총무;구매
283581,애니메이션
283355,모델링;이펙트·FX
283577,게임개발(클라이언트);게임개발(모바일);게임기획;게임운영
283570,게임개발(클라이언트);이펙트·FX;게임기획;엔진
283571,게임개발(모바일);원화
283567,이펙트·FX
283563,게임기획
283562,원화
283557,원화
283550,사업기획(해외);사업관리;리서치
281266,게임개발(모바일);원화
283500,원화;모델링;애니메이션
283498,게임AI 개발;게임기획;정보·빅데이터 분석
283495,게임개발(클라이언트);게임개발(모바일);인터페이스 디자인
283499,원화;모델링;애니메이션
283493,재무;주식IR
283459,모델링;애니메이션;영상제작·편집
283457,사업기획(해외);사업관리;경영분석
283448,마케팅;프로모션;광고기획
283270,애니메이션;이펙트·FX;영상제작·편집
283211,마케팅;해외 마케팅;광고기획
283212,게임AI 개발;사운드 제작;엔진
283127,원화;모델링;BX·브랜드 디자인
283125,게임개발(클라이언트);인터페이스 디자인;게임기획
283117,게임개발(클라이언트);게임AI 개발;게임기획
283107,게임개발(클라이언트);엔진;게임운영
283070,이펙트·FX;영상제작·편집;엔진
283068,마케팅;홍보;해외 마케팅
283061,게임기획;게임운영;사업기획(국내)
283057,사업기획(국내);전략기획;사업관리
282918,원화;모델링;애니메이션
282915,원화;모델링;애니메이션
282707,원화;모델링;애니메이션
282705,모델링;애니메이션
282626,원화;모델링;애니메이션
282629,원화;모델링
282632,원화;모델링
282631,원화;모델링
282566,인터페이스 디자인;원화;모델링;게임기획;사업관리
282389,게임개발(클라이언트);게임개발(모바일)
282222,사운드 제작
283478,게임개발(클라이언트);모델링
281226,사업기획(국내);사업기획(해외);사업관리;사무·회계;경리
282078,애니메이션
282341,게임개발(클라이언트)
282987,게임개발(클라이언트);게임개발(모바일);게임AI 개발;애니메이션;이펙트·FX
283419,원화
283451,게임운영;퍼블리싱
283364,게임개발(모바일)
283366,게임기획;게임운영
283367,게임기획;게임운영
283365,인터페이스 디자인;모델링;애니메이션;이펙트·FX
283363,게임개발(모바일);모델링
282944,원화
283361,게임기획
281705,모델링
281681,게임개발(모바일);원화
283022,게임기획
283340,원화;모델링
283341,사업기획(국내);사무·회계;재무;회계;경리
283339,게임개발(클라이언트);게임개발(모바일);서버
283331,게임기획
281427,게임개발(모바일);게임기획
282506,게임운영
282507,게임운영
282519,게임기획;게임운영;사업기획(국내);사업기획(해외);사업관리
283326,제휴;채널링;법무
283314,QA·테스터
283315,게임개발(클라이언트);게임개발(모바일)
283318,게임개발(클라이언트);게임개발(모바일)
283312,게임개발(클라이언트);게임개발(모바일)
283306,사운드 제작
283317,게임기획
283313,게임기획
283319,게임기획
282246,게임개발(모바일);게임기획
283309,인터페이스 디자인;모델링
283305,모델링
283297,엔진
283293,사업관리
281199,게임개발(모바일);게임기획
283249,사업기획(국내);사업기획(해외);사업관리
283225,인사
283235,게임AI 개발;인터페이스 디자인;원화;애니메이션;이펙트·FX
283229,게임개발(클라이언트);게임AI 개발;인터페이스 디자인;게임기획;서버
283227,게임기획
283224,게임기획
283205,인터페이스 디자인
282959,게임개발(클라이언트);게임개발(모바일);게임AI 개발
282957,게임기획
282956,게임개발(클라이언트);게임개발(모바일);게임AI 개발
283214,게임운영
283203,사업기획(국내);사업기획(해외);사업관리;퍼블리싱;해외지사 관리
283201,게임기획
282397,게임기획
283132,사무·회계
283197,원화;모델링
283168,애니메이션
283156,게임개발(모바일);게임기획
282883,게임기획;플랫폼 기획;정보·빅데이터 분석
283115,게임개발(클라이언트);게임AI 개발;게임기획
283143,게임AI 개발;플랫폼 개발;엔진;시스템·DB;클라우드
283090,애니메이션
283101,애니메이션
283092,인터페이스 디자인
283091,게임기획
283086,게임개발(클라이언트);게임개발(모바일);게임기획;게임운영
281737,원화
281731,인터페이스 디자인;게임기획
281702,모델링
281736,원화
281784,이펙트·FX;게임기획
282948,모델링
282947,영상제작·편집
282940,모델링
282943,모델링
282945,애니메이션
283024,게임개발(모바일);게임AI 개발;이펙트·FX
283037,애니메이션
282211,게임기획;QA·테스터;사업기획(국내);사업기획(해외);사업관리
283017,게임기획
283019,원화
283016,서버
282865,사업기획(국내);사업기획(해외);사업관리
283005,애니메이션
282996,이펙트·FX
274647,게임개발(클라이언트);서버
282762,게임AI 개발;인터페이스 디자인;원화;애니메이션;이펙트·FX
282976,게임개발(클라이언트);게임개발(모바일);엔진
281662,전략기획;경영분석;사무·회계;통계
282969,사업기획(국내);사무·회계;재무;회계;경리
271653,보안
281761,게임개발(클라이언트)
282913,마케팅;홍보;해외 마케팅;프로모션;퍼블리싱
281254,게임기획
282958,게임기획
281550,인터페이스 디자인
281255,인터페이스 디자인
282950,게임개발(클라이언트);게임개발(모바일);게임AI 개발
282902,인터페이스 디자인;원화;모델링
282903,정보·빅데이터 분석;마케팅;홍보
282917,원화;모델링;애니메이션
279630,애니메이션
279633,애니메이션
282218,게임AI 개발;시스템·DB;클라우드
282839,게임기획;플랫폼 기획;정보·빅데이터 분석
282758,게임AI 개발
282871,서버
282872,마케팅
282864,게임개발(모바일);인터페이스 디자인
282815,모델링
282800,인터페이스 디자인
282798,사업기획(국내);사업기획(해외);사업관리
282736,QA·테스터
282737,게임기획
282738,게임기획
282739,게임기획
282740,게임기획
282742,게임기획;플랫폼 기획
282743,게임개발(클라이언트)
282744,게임개발(클라이언트)
282745,게임개발(클라이언트)
282746,게임개발(클라이언트)
282747,게임기획
282748,게임기획
282749,게임기획
282750,게임기획
282751,게임기획
282752,서버
282773,게임개발(모바일);정보·빅데이터 분석
282772,게임개발(모바일);정보·빅데이터 분석
282771,인터페이스 디자인;모델링;애니메이션;이펙트·FX;게임기획
282769,게임AI 개발;인터페이스 디자인;원화;애니메이션;이펙트·FX
282768,인터페이스 디자인;모델링;게임기획
282767,게임AI 개발;인터페이스 디자인;원화;애니메이션;이펙트·FX
282763,인터페이스 디자인;모델링;게임기획
282761,게임기획
282760,게임AI 개발;인터페이스 디자인;원화;애니메이션;이펙트·FX
282757,게임기획
282756,시스템·DB;정보·빅데이터 분석
282754,게임기획;QA·테스터
282753,사업기획(국내);마케팅
281262,원화;영상제작·편집
281263,원화;모델링;애니메이션
281245,서버
281243,원화
281248,이펙트·FX
281247,모델링;애니메이션;게임기획
281252,원화
281547,게임개발(클라이언트);게임개발(모바일);서버
281549,게임기획
281548,게임기획
